"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","arch","aug_plus","batch_size","checkpoint_fp","checkpoint_interval","cos","custom_aug_name","data","dataid","dataset","dist_backend","dist_url","distributed","epochs","evaluate","faa_aug","gauss","gpu","id","kfold","lcls_arch","lcls_batch_size","lcls_checkpoint_fp","lcls_checkpoint_interval","lcls_data","lcls_dataid","lcls_dist_backend","lcls_dist_url","lcls_distributed","lcls_epochs","lcls_evaluate","lcls_gpu","lcls_id","lcls_kfold","lcls_lr","lcls_mlp","lcls_momentum","lcls_multiprocessing_distributed","lcls_name","lcls_notes","lcls_pretrained","lcls_print_freq","lcls_randomcrop","lcls_rank","lcls_resume","lcls_schedule","lcls_start_epoch","lcls_task","lcls_wandbproj","lcls_weight_decay","lcls_workers","lcls_world_size","lr","mlp","moco_dim","moco_k","moco_m","moco_t","momentum","multiprocessing_distributed","name","no_gauss","nomoco","notes","pretrained","print_freq","rand_aug","rand_aug_m","rand_aug_n","rand_aug_orig","randomcrop","rank","resume","rotnet","rotnet_mlp","schedule","seed","start_epoch","wandbproj","weight_decay","workers","world_size","Acc@1","Acc@5","Data","LinCls Acc@1","LinCls Acc@5","LinCls Data","LinCls Loss","LinCls Time","Loss","MOCO Loss","Rot Loss","Rot Train Loss","Rot Val Loss","Time","example images","learning rate","meter","val-acc1","val-classify","val-mlp-rotation","val-rotation"
"0DKhLxrlFZ9A78pBjttUxKUoAr8FBnSK","0DKhLxrlFZ9A78pBjttUxKUoAr8FBnSK","0DKhLxrlFZ9A78pBjttUxKUoAr8FBnSK","finished","cifar10 randaug M=5 N=3","cjrd","","2020-04-30T07:30:31.000Z","319266","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","5","3","","","","","","","","","","","","","","5.99244499206543","13.993819236755373","0.2872613655341851","","","","","","8.844882304851826","","","0","","0.7711803231920514","","","","","78.80999755859375","0","63.46249771118164"
"50h6s_500epochs_512bsz_0.4000lr_mlp_cos_randaug","50h6sFMPqkueJdD6KPgTWZ2JEl7LBwo4","50h6s_500epochs_512bsz_0.4000lr_mlp_cos_randaug","finished","cifar10 randaug M=11 N=3","cjrd","","2020-04-30T17:38:01.000Z","216602","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cifar10 randaug M=11 N=3","","","true","11","3","","","","","","","","","","","","","","93.4065933227539","98.9011001586914","0.5199693952287946","","","","","","11.090236076941856","","","0","","1.519770661553184","","","","","10","","25"
"AzcZQ_500epochs_512bsz_0.4000lr_mlp_cos_randaug","AzcZQ5WeVQck5FjozRChOIXqjqucymxv","AzcZQ_500epochs_512bsz_0.4000lr_mlp_cos_randaug","finished","cifar10 randaug M=4 N=3","cjrd","","2020-04-30T07:28:43.000Z","154818","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cifar10 randaug M=4 N=3","","","true","4","3","","","","","","","","","","","","","","9.160370826721191","20.106456756591797","0.29405751071133457","","","","","","8.55876623929202","","","0","","0.7837351311694135","","","","","79.52999877929688","","63.79499816894531"
"GVcrj_500epochs_512bsz_0.4000lr_mlp_cos_randaug","GVcrjyWcajRU5EHVFlqPDQLLHGC7Flf0","GVcrj_500epochs_512bsz_0.4000lr_mlp_cos_randaug","finished","cifar10 randaug M=7 N=3","cjrd","","2020-04-30T08:38:57.000Z","114212","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cifar10 randaug M=7 N=3","","","true","7","3","","","","","","","","","","","","","","5.013736248016357","10.911745071411133","0.44913662396944487","","","","","","9.140782995538396","","","0","","0.8884009528946091","","","","","73.83999633789062","","61.26499938964844"
"PCOvT_500epochs_512bsz_0.4000lr_mlp_cos_randaug","PCOvTzzs6JAk1mLiXuP322QgsUTDRuRD","PCOvT_500epochs_512bsz_0.4000lr_mlp_cos_randaug","finished","cifar10 randaug M=9 N=3","cjrd","","2020-04-30T08:45:48.000Z","123826","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cifar10 randaug M=9 N=3","","","true","9","3","","","","","","","","","","","","","","1.983173131942749","5.391483783721924","0.37563518901447673","","","","","","10.252819061279297","","","0","","0.5778756613259787","","","","","67.97999572753906","0","55.35249710083008"
"9qbHl_500epochs_512bsz_0.4000lr_mlp_cos_randaug","9qbHlAfPQH6ZvWPE1SEgugt9SkO4QjRt","9qbHl_500epochs_512bsz_0.4000lr_mlp_cos_randaug","finished","cifar10 randaug M=5 N=4","cjrd","","2020-04-30T17:46:16.000Z","169071","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cifar10 randaug M=5 N=4","","","true","5","4","","","","","","","","","","","","","","93.4065933227539","97.8022003173828","0.3011816543537182","","","","","","11.0902315391289","","","0","","0.7732108477707748","","","","","10","","25"
"BNfzO_500epochs_512bsz_0.4000lr_mlp_cos_randaug","BNfzO8cJyoj6TjJmvKB0bnaprOnJXQbQ","BNfzO_500epochs_512bsz_0.4000lr_mlp_cos_randaug","finished","cifar10 randaug M=4 N=4","cjrd","","2020-04-30T17:52:32.000Z","80273","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cifar10 randaug M=4 N=4","","","true","4","4","","","","","","","","","","","","","","95.60440063476562","98.9011001586914","0.2982119544521793","","","","","","11.090238896045056","","","0","","0.7544118493467897","","","","","10","","25"
"QFymR_500epochs_512bsz_0.4000lr_mlp_cos_randaug","QFymRz5JKcTQjzBhMTUauodajpj1CMPb","QFymR_500epochs_512bsz_0.4000lr_mlp_cos_randaug","finished","cifar10 randaug M=11 N=4","cjrd","","2020-05-01T13:03:56.000Z","148187","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cifar10 randaug M=11 N=4","","","true","11","4","","","","","","","","","","","","","","0.025755494832992554","0.41208791732788086","0.5063320621029361","","","","","","10.649131009866904","","","0","","1.540146515919612","","","","","45.5","","43.36000061035156"
"U5HPt_500epochs_512bsz_0.4000lr_mlp_cos_randaug","U5HPtNLx3CFChksJ3yrq4AXHH6AF1QKV","U5HPt_500epochs_512bsz_0.4000lr_mlp_cos_randaug","finished","cifar10 randaug M=9 N=4","cjrd","","2020-04-30T20:06:48.000Z","88249","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cifar10 randaug M=9 N=4","","","true","9","4","","","","","","","","","","","","","","100","100","0.4257874750829005","","","","","","11.089540554926945","","","0","","1.162506286914532","","","","","10","","25"
"hzKMG_500epochs_512bsz_0.4000lr_mlp_cos_randaug","hzKMGFcErl5HtRCwEV3933iULiDiV2UD","hzKMG_500epochs_512bsz_0.4000lr_mlp_cos_randaug","finished","cifar10 randaug M=7 N=4","cjrd","","2020-04-30T20:00:24.000Z","94013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cifar10 randaug M=7 N=4","","","true","7","4","","","","","","","","","","","","","","100","100","0.4642858321850116","","","","","","11.090142899817163","","","0","","1.3078235662900484","","","","","10","","25"
